,,,Bilingual,,SpED,,Free/Reduced Lunch,
School Year,School ID,Total,N,%,N,%,N,%
2015,609997,228,1,0.44%,32,14.04%,227,99.56%
2015,610569,145,0,0.00%,24,16.55%,48,33.10%
2015,610570,167,7,4.19%,31,18.56%,165,98.80%
2015,610571,401,6,1.50%,79,19.70%,387,96.51%
2015,610105,689,55,7.98%,69,10.01%,180,26.12%
2015,610329,598,181,30.27%,68,11.37%,579,96.82%
2015,610389,458,15,3.28%,100,21.83%,435,94.98%
2015,609811,296,34,11.49%,74,25.00%,292,98.65%
2015,610367,739,6,0.81%,120,16.24%,722,97.70%
2015,610059,664,25,3.77%,58,8.73%,175,26.36%
2015,610021,497,66,13.28%,70,14.08%,487,97.99%
2015,610115,384,0,0.00%,25,6.51%,384,100.00%
2015,610116,316,0,0.00%,41,12.97%,312,98.73%
2015,610557,298,11,3.69%,44,14.77%,266,89.26%
2015,610568,307,23,7.49%,62,20.20%,287,93.49%
2015,400173,211,15,7.11%,25,11.85%,191,90.52%
2015,609988,659,327,49.62%,67,10.17%,634,96.21%
2015,610003,456,2,0.44%,56,12.28%,419,91.89%
2015,609676,"1,034",5,0.48%,195,18.86%,"1,019",98.55%
2015,610146,279,0,0.00%,27,9.68%,278,99.64%
2015,609707,295,0,0.00%,79,26.78%,295,100.00%
2015,610386,140,12,8.57%,25,17.86%,136,97.14%
2015,609762,871,1,0.11%,169,19.40%,823,94.49%
2015,609791,522,1,0.19%,59,11.30%,515,98.66%
2015,400062,449,0,0.00%,86,19.15%,426,94.88%
2015,400066,572,1,0.17%,111,19.41%,533,93.18%
2015,400064,384,2,0.52%,55,14.32%,351,91.41%
2015,400061,641,0,0.00%,111,17.32%,617,96.26%
2015,610145,852,309,36.27%,159,18.66%,772,90.61%
2015,609867,589,355,60.27%,86,14.60%,576,97.79%
2015,610147,761,288,37.84%,101,13.27%,639,83.97%
2015,609777,309,88,28.48%,38,12.30%,298,96.44%
2015,610090,531,11,2.07%,38,7.16%,307,57.82%
2015,609981,333,107,32.13%,77,23.12%,328,98.50%
2015,610304,501,16,3.19%,49,9.78%,479,95.61%
2015,610013,421,162,38.48%,112,26.60%,388,92.16%
2015,400068,487,0,0.00%,55,11.29%,478,98.15%
2015,400069,426,1,0.23%,57,13.38%,398,93.43%
2015,610135,"1,029",123,11.95%,127,12.34%,863,83.87%
2015,400070,222,4,1.80%,23,10.36%,182,81.98%
2015,400109,250,0,0.00%,30,12.00%,240,96.00%
2015,400071,512,4,0.78%,54,10.55%,459,89.65%
2015,610138,912,182,19.96%,79,8.66%,744,81.58%
2015,609842,"1,165",563,48.33%,94,8.07%,"1,155",99.14%
2015,609902,492,0,0.00%,43,8.74%,487,98.98%
2015,610141,527,80,15.18%,56,10.63%,245,46.49%
2015,609769,133,32,24.06%,133,100.00%,122,91.73%
2015,609903,"1,452",730,50.28%,142,9.78%,"1,412",97.25%
2015,610291,885,266,30.06%,100,11.30%,857,96.84%
2015,610239,645,304,47.13%,60,9.30%,643,99.69%
2015,610102,481,0,0.00%,55,11.43%,476,98.96%
2015,610561,338,6,1.78%,13,3.85%,301,89.05%
2015,609702,57,0,0.00%,10,17.54%,56,98.25%
